"ID","Title","Identifier","Category","Status"
"6","Specifying your shipping costs and locations","specifying-your-shipping-costs-and-locations","Shipping","Enabled"
"7","Offering free shipping","offering-free-shipping","Shipping","Enabled"
"8","Using flat shipping costs","using-flat-shipping-costs","Shipping","Enabled"
"9","Billing Agreements through Paypal","billing-agreements-through-paypal","Billing Agreements","Enabled"
"10","test","test","Shipping","Enabled"
"11","Sample  Article testing of Magento Project","sample-article-testing-of-magento-project","Sample Test","Enabled"
"12","TEST 1","test-1","Shipping","Enabled"
"13","TEST 1","test-1","Sample Test","Enabled"
"14","TEST 3","test-3","Billing Agreements","Enabled"
"15","TEST 3","test-3","Shipping","Enabled"
"16","TEST 3","test-3","Mobile Test","Enabled"
"17","TEST 3","test-3","Sample Test","Enabled"
"18","TEST 3TEST 3","test-3test-3","Mobile Test","Enabled"
"19","TEST 3","test-3","Sample Test","Enabled"
"20","TEST 3","test-3","Billing Agreements","Enabled"
"21","TEST 3","test-3","Sample Test","Enabled"
"22","TEST 6","test-6","Sample Test","Enabled"
"23","TEST 3TEST 3","test-3test-3","Mobile Test","Enabled"
"24","TEST 3","test-3","Shipping","Enabled"
"25","TEST 3TEST 3","test-3test-3","Sample Test","Enabled"
"26","TEST 3","test-3","Billing Agreements","Enabled"
